NAME,B08301_001E,B08301_003E,B08301_010E,state,county,tract
Census Tract 219.14; DeKalb County; Georgia,2320,1613,28,13,089,021914
Census Tract 219.15; DeKalb County; Georgia,2285,1900,0,13,089,021915
Census Tract 219.16; DeKalb County; Georgia,1231,744,0,13,089,021916
Census Tract 219.17; DeKalb County; Georgia,1183,730,112,13,089,021917
Census Tract 220.01; DeKalb County; Georgia,2353,1741,43,13,089,022001
Census Tract 220.05; DeKalb County; Georgia,2245,1441,121,13,089,022005
Census Tract 220.07; DeKalb County; Georgia,1804,1089,67,13,089,022007
Census Tract 220.10; DeKalb County; Georgia,966,492,5,13,089,022010
Census Tract 220.11; DeKalb County; Georgia,2155,1012,82,13,089,022011
Census Tract 220.12; DeKalb County; Georgia,1492,680,39,13,089,022012
Census Tract 220.13; DeKalb County; Georgia,1228,916,79,13,089,022013
Census Tract 220.14; DeKalb County; Georgia,1255,644,133,13,089,022014
Census Tract 220.15; DeKalb County; Georgia,1204,667,265,13,089,022015
Census Tract 220.16; DeKalb County; Georgia,1593,1010,54,13,089,022016
Census Tract 221; DeKalb County; Georgia,1676,890,31,13,089,022100
Census Tract 222.03; DeKalb County; Georgia,1474,954,38,13,089,022203
Census Tract 222.05; DeKalb County; Georgia,2045,1568,0,13,089,022205
Census Tract 222.06; DeKalb County; Georgia,2004,1263,18,13,089,022206
Census Tract 223.02; DeKalb County; Georgia,1866,1050,48,13,089,022302
Census Tract 223.03; DeKalb County; Georgia,1992,1327,63,13,089,022303
Census Tract 223.04; DeKalb County; Georgia,1774,872,236,13,089,022304
Census Tract 224.01; DeKalb County; Georgia,2164,1478,13,13,089,022401
Census Tract 224.03; DeKalb County; Georgia,1840,964,14,13,089,022403
Census Tract 224.04; DeKalb County; Georgia,834,328,20,13,089,022404
Census Tract 224.05; DeKalb County; Georgia,1409,627,50,13,089,022405
Census Tract 225.01; DeKalb County; Georgia,1976,962,132,13,089,022501
Census Tract 225.02; DeKalb County; Georgia,1250,618,31,13,089,022502
Census Tract 226.01; DeKalb County; Georgia,2256,1042,148,13,089,022601
Census Tract 226.02; DeKalb County; Georgia,1206,661,72,13,089,022602
Census Tract 227; DeKalb County; Georgia,2439,1048,52,13,089,022700
Census Tract 228; DeKalb County; Georgia,1877,878,76,13,089,022800
Census Tract 229; DeKalb County; Georgia,2884,1789,156,13,089,022900
Census Tract 230; DeKalb County; Georgia,1166,590,0,13,089,023000
Census Tract 231.01; DeKalb County; Georgia,1958,1355,50,13,089,023101
Census Tract 231.02; DeKalb County; Georgia,1348,809,78,13,089,023102
Census Tract 231.07; DeKalb County; Georgia,2577,859,147,13,089,023107
Census Tract 231.08; DeKalb County; Georgia,1434,1160,57,13,089,023108
Census Tract 231.11; DeKalb County; Georgia,703,572,35,13,089,023111
Census Tract 231.12; DeKalb County; Georgia,2039,1315,300,13,089,023112
Census Tract 231.13; DeKalb County; Georgia,2047,1146,91,13,089,023113
Census Tract 231.14; DeKalb County; Georgia,1711,1184,171,13,089,023114
Census Tract 231.15; DeKalb County; Georgia,0,0,0,13,089,023115
Census Tract 232.09; DeKalb County; Georgia,2874,1798,101,13,089,023209
Census Tract 232.11; DeKalb County; Georgia,2144,1340,0,13,089,023211
Census Tract 232.12; DeKalb County; Georgia,1775,1305,40,13,089,023212
Census Tract 232.13; DeKalb County; Georgia,3165,2372,60,13,089,023213
Census Tract 232.14; DeKalb County; Georgia,3298,2507,163,13,089,023214
Census Tract 232.15; DeKalb County; Georgia,2156,1352,227,13,089,023215
Census Tract 232.16; DeKalb County; Georgia,1666,1247,13,13,089,023216
Census Tract 232.17; DeKalb County; Georgia,2084,1678,78,13,089,023217
Census Tract 232.18; DeKalb County; Georgia,1318,751,177,13,089,023218
Census Tract 232.19; DeKalb County; Georgia,1765,1261,47,13,089,023219
Census Tract 232.20; DeKalb County; Georgia,1958,1204,133,13,089,023220
Census Tract 232.21; DeKalb County; Georgia,1423,829,11,13,089,023221
Census Tract 232.22; DeKalb County; Georgia,2068,1436,172,13,089,023222
Census Tract 233.11; DeKalb County; Georgia,2305,1632,201,13,089,023311
Census Tract 233.13; DeKalb County; Georgia,2700,1596,234,13,089,023313
Census Tract 233.15; DeKalb County; Georgia,3264,2343,43,13,089,023315
Census Tract 233.17; DeKalb County; Georgia,1908,1281,306,13,089,023317
Census Tract 233.18; DeKalb County; Georgia,1733,1276,46,13,089,023318
Census Tract 233.19; DeKalb County; Georgia,1250,548,68,13,089,023319
Census Tract 233.20; DeKalb County; Georgia,1827,1318,0,13,089,023320
Census Tract 233.21; DeKalb County; Georgia,1657,1141,150,13,089,023321
Census Tract 233.22; DeKalb County; Georgia,1139,571,57,13,089,023322
Census Tract 233.23; DeKalb County; Georgia,1827,1443,0,13,089,023323
Census Tract 233.24; DeKalb County; Georgia,1773,1152,72,13,089,023324
Census Tract 233.25; DeKalb County; Georgia,2895,1790,0,13,089,023325
Census Tract 233.26; DeKalb County; Georgia,1913,1558,3,13,089,023326
Census Tract 233.27; DeKalb County; Georgia,3018,2178,63,13,089,023327
Census Tract 233.28; DeKalb County; Georgia,1755,1372,79,13,089,023328
Census Tract 233.29; DeKalb County; Georgia,1938,1503,2,13,089,023329
Census Tract 233.30; DeKalb County; Georgia,1254,780,24,13,089,023330
Census Tract 233.31; DeKalb County; Georgia,1189,854,119,13,089,023331
Census Tract 233.32; DeKalb County; Georgia,1492,1026,0,13,089,023332
Census Tract 234.10; DeKalb County; Georgia,1629,1270,29,13,089,023410
Census Tract 234.11; DeKalb County; Georgia,1302,713,87,13,089,023411
Census Tract 234.13; DeKalb County; Georgia,1589,1043,0,13,089,023413
Census Tract 234.22; DeKalb County; Georgia,2717,1628,147,13,089,023422
Census Tract 234.24; DeKalb County; Georgia,2656,2060,80,13,089,023424
Census Tract 234.25; DeKalb County; Georgia,2555,1579,0,13,089,023425
Census Tract 234.26; DeKalb County; Georgia,1826,1105,23,13,089,023426
Census Tract 234.27; DeKalb County; Georgia,1335,968,20,13,089,023427
Census Tract 234.29; DeKalb County; Georgia,1706,1065,25,13,089,023429
Census Tract 234.30; DeKalb County; Georgia,1817,1282,114,13,089,023430
Census Tract 234.31; DeKalb County; Georgia,857,451,0,13,089,023431
Census Tract 234.32; DeKalb County; Georgia,1963,1450,20,13,089,023432
Census Tract 234.33; DeKalb County; Georgia,2571,1560,15,13,089,023433
Census Tract 234.34; DeKalb County; Georgia,2552,1729,0,13,089,023434
Census Tract 234.35; DeKalb County; Georgia,1220,967,0,13,089,023435
Census Tract 234.36; DeKalb County; Georgia,1524,923,49,13,089,023436
Census Tract 234.37; DeKalb County; Georgia,3376,2359,121,13,089,023437
Census Tract 234.38; DeKalb County; Georgia,2103,1251,218,13,089,023438
Census Tract 234.39; DeKalb County; Georgia,1043,596,67,13,089,023439
Census Tract 234.40; DeKalb County; Georgia,3127,1644,309,13,089,023440
Census Tract 234.41; DeKalb County; Georgia,1972,1475,23,13,089,023441
