date,mode,mode_name,upt
2022-01-01,MB,Bus,1835143.0
2022-02-01,MB,Bus,1841854.0
2022-03-01,MB,Bus,2163160.0
2022-04-01,MB,Bus,2172348.0
2022-05-01,MB,Bus,2190472.0
2022-06-01,MB,Bus,2320633.0
2022-07-01,MB,Bus,2371182.0
2022-08-01,MB,Bus,2625350.0
2022-09-01,MB,Bus,2593737.0
2022-10-01,MB,Bus,2629299.0
2022-11-01,MB,Bus,2495408.0
2022-12-01,MB,Bus,2462509.0
2023-01-01,MB,Bus,2512784.0
2023-02-01,MB,Bus,2417971.0
2023-03-01,MB,Bus,2754120.0
2023-04-01,MB,Bus,2607422.0
2023-05-01,MB,Bus,2781900.0
2023-06-01,MB,Bus,2627148.0
2023-07-01,MB,Bus,2562548.0
2023-08-01,MB,Bus,2851821.0
2023-09-01,MB,Bus,2736700.0
2023-10-01,MB,Bus,2914307.0
2023-11-01,MB,Bus,2704025.0
2023-12-01,MB,Bus,2651965.0
2024-01-01,MB,Bus,2594379.0
2024-02-01,MB,Bus,2652739.0
2024-03-01,MB,Bus,2814587.0
2024-04-01,MB,Bus,2867409.0
2024-05-01,MB,Bus,2975585.0
2024-06-01,MB,Bus,2740842.0
2024-07-01,MB,Bus,3004887.0
2024-08-01,MB,Bus,3230018.0
2024-09-01,MB,Bus,2988693.0
2024-10-01,MB,Bus,3335229.0
2024-11-01,MB,Bus,2912577.0
2024-12-01,MB,Bus,2794798.0
2025-01-01,MB,Bus,2307979.0
2025-02-01,MB,Bus,2624858.0
2025-03-01,MB,Bus,2812208.0
2025-04-01,MB,Bus,2910569.0
2025-05-01,MB,Bus,2955439.0
2025-06-01,MB,Bus,2836014.0
2025-07-01,MB,Bus,2959584.0
2025-08-01,MB,Bus,3084801.0
2025-09-01,MB,Bus,2987740.0
2025-10-01,MB,Bus,3248054.0
2025-11-01,MB,Bus,2757952.0
2025-12-01,MB,Bus,2810903.0
2026-01-01,MB,Bus,2494366.0
2026-02-01,MB,Bus,2485385.0
2019-01-01,SR,Streetcar,23555.0
2019-02-01,SR,Streetcar,27320.0
2019-03-01,SR,Streetcar,29539.0
2019-04-01,SR,Streetcar,29571.0
2019-05-01,SR,Streetcar,23904.0
2019-06-01,SR,Streetcar,16790.0
2019-07-01,SR,Streetcar,36257.0
2019-08-01,SR,Streetcar,32263.0
2019-09-01,SR,Streetcar,25017.0
2019-10-01,SR,Streetcar,16422.0
2019-11-01,SR,Streetcar,18187.0
2019-12-01,SR,Streetcar,19549.0
2020-01-01,SR,Streetcar,16571.0
2020-02-01,SR,Streetcar,19524.0
2020-03-01,SR,Streetcar,20623.0
2020-04-01,SR,Streetcar,2943.0
2020-05-01,SR,Streetcar,4714.0
